,lat,lon,date,d15n,blue,green,red,nir,swir1,swir2,imaging_time
655,39.120699,-96.638276,2019,1.7,0.14396150026735927,0.16525857459323198,0.16832938660148195,0.33277824459552363,0.3112978382094569,0.2531815751279505,Tue Jul 23 03:06:46 2019
656,39.115597,-96.638463,2019,-0.85,0.12431441448323276,0.13410740203193033,0.12767550225345659,0.33461156519746393,0.19450003819417921,0.14906424260942633,Tue Jul 23 03:06:46 2019
657,39.119701,-96.638655,2019,-0.2,0.1414865174547399,0.16205026353983654,0.16327247727446337,0.3272935604613857,0.3032312275609197,0.246260789855626,Tue Jul 23 03:06:46 2019
658,39.125589,-96.639109,2019,7.5,0.1496142387900084,0.16918493621572073,0.17589183408448553,0.3024978993201436,0.3212894354900313,0.26945229547017036,Tue Jul 23 03:06:46 2019
659,39.12255,-96.641186,2019,2.8,0.138782369566878,0.15855167672446718,0.15639752501718737,0.3380795966694676,0.30408677717515853,0.23707890917424185,Tue Jul 23 03:06:46 2019
660,39.126668,-96.64202,2019,1.1,0.13769765487739669,0.15780307081200826,0.15376976548773966,0.34151707279810556,0.29705904820105417,0.22933312963104424,Tue Jul 23 03:06:46 2019
661,39.125694,-96.64534,2019,0.2,0.12542968451607975,0.13636849744099,0.1309602016652662,0.3297532656023222,0.20436941410129097,0.15465587044534412,Tue Jul 23 03:06:46 2019
662,39.124964,-96.647329,2019,-1.9,0.12225192880604996,0.13262546787869528,0.12645328851882973,0.3303032617829043,0.18867924528301888,0.14435871973111297,Tue Jul 23 03:06:46 2019
663,33.398512,-97.567356,2019,-4.6,0.1208922160262776,0.129493545183714,0.12581162630815063,0.19298754869757848,0.17103353448934383,0.13893514628370637,Tue Jul 16 03:02:09 2019
664,33.403397,-97.568252,2019,-0.9,0.1278130012986021,0.1433809487434115,0.13367962722481094,0.2898938201818043,0.2215415170727981,0.16206554121151936,Tue Jul 16 03:02:09 2019
665,33.397987,-97.568339,2019,-4.0,0.123733862959285,0.1369643266366206,0.13416851271866168,0.23489420212359635,0.2036055305171492,0.15875028645634406,Tue Jul 16 03:02:09 2019
666,33.403422,-97.569543,2019,-1.0,0.1275991138950424,0.14168512718661677,0.13367962722481094,0.270506454816286,0.21582766786341762,0.15867389809792987,Tue Jul 16 03:02:09 2019
667,33.398814,-97.569922,2019,-1.5,0.12791994500038195,0.13988236192804215,0.13396990298678482,0.2714536704606218,0.21481934153235047,0.16172943243449697,Tue Jul 16 03:02:09 2019
668,33.399913,-97.569922,2019,-1.225,0.12338247651057979,0.13389351462837062,0.12620884577190436,0.2646703842334428,0.19100145137880986,0.14516843633030327,Tue Jul 16 03:02:09 2019
669,33.404775,-97.570476,2019,-1.45,0.12471163394698648,0.1379115422809564,0.1291574364066916,0.2887479948055916,0.204552746161485,0.1511267282866091,Tue Jul 16 03:02:09 2019
670,33.401799,-97.570531,2019,-0.55,0.12445191352837827,0.1369337712932549,0.12788938965701627,0.2815522114429761,0.20084027194255596,0.14950729508822855,Tue Jul 16 03:02:09 2019
671,33.406164,-97.572393,2019,-0.9,0.1275991138950424,0.143335115728363,0.13536017110992285,0.2892368802994424,0.22633870598120848,0.16489191047284393,Tue Jul 16 03:02:09 2019
672,33.321251,-97.57765,2019,-2.3,0.14182262623176228,0.1653044076082805,0.1686654953785043,0.2661675960583607,0.28454663509281186,0.2224887327171339,Tue Jul 16 03:02:09 2019
673,33.397578,-97.57995,2019,-3.4,0.1311740890688259,0.1463906500649301,0.13980597356962798,0.28712856160721106,0.23532197693071577,0.1703307615919334,Tue Jul 16 03:02:09 2019
674,33.403571,-97.58341,2019,-1.73333333333333,0.12429913681154992,0.1359407226338706,0.12692689634099763,0.2894660453746849,0.20624856771827974,0.1501795126422733,Tue Jul 16 03:02:09 2019
